Date,Month,Year,Customer ID,Customer Age,Age Group,Customer Gender,Country,State,Product Category,Sub Category,Product,Frame Size,Order Quantity,Unit Cost,Unit Price,Cost,Revenue,Profit
7/21/13,July,2013,11423,43,Adults (35-64),F,Germany,Hamburg,Bikes,Road Bikes,"Road-750 Black, 58",58,1,344,540,344,502,158
7/21/15,July,2015,11423,43,Adults (35-64),F,Germany,Hamburg,Bikes,Road Bikes,"Road-750 Black, 58",58,2,344,540,688,1004,316
12/28/13,December,2013,11423,43,Adults (35-64),F,Germany,Hamburg,Bikes,Road Bikes,"Road-750 Black, 58",58,1,344,540,344,502,158
12/28/15,December,2015,11423,43,Adults (35-64),F,Germany,Hamburg,Bikes,Road Bikes,"Road-750 Black, 58",58,1,344,540,344,502,158
6/3/14,June,2014,11429,45,Adults (35-64),M,France,Hauts de Seine,Bikes,Road Bikes,"Road-350-W Yellow, 42",42,1,1083,1701,1083,1582,499
6/3/16,June,2016,11429,45,Adults (35-64),M,France,Hauts de Seine,Bikes,Road Bikes,"Road-350-W Yellow, 42",42,3,1083,1701,3249,4746,1497
3/30/14,March,2014,11431,45,Adults (35-64),M,Germany,Bayern,Bikes,Road Bikes,"Road-750 Black, 52",52,1,344,540,344,535,191
3/30/16,March,2016,11431,45,Adults (35-64),M,Germany,Bayern,Bikes,Road Bikes,"Road-750 Black, 52",52,1,344,540,344,535,191
6/1/14,June,2014,11432,46,Adults (35-64),F,France,Seine et Marne,Bikes,Road Bikes,"Road-350-W Yellow, 40",40,1,1083,1701,1083,1395,312
6/1/16,June,2016,11432,46,Adults (35-64),F,France,Seine et Marne,Bikes,Road Bikes,"Road-350-W Yellow, 40",40,3,1083,1701,3249,4184,935
7/16/12,July,2012,11433,46,Adults (35-64),M,France,Seine Saint Denis,Bikes,Road Bikes,"Road-750 Black, 44",44,2,344,540,688,886,198
3/14/16,March,2016,12607,37,Adults (35-64),F,France,Essonne,Bikes,Road Bikes,"Road-150 Red, 48",48,1,2171,3578,2171,3435,1264
4/30/14,April,2014,12607,37,Adults (35-64),F,France,Essonne,Bikes,Road Bikes,"Road-150 Red, 48",48,1,2171,3578,2171,3435,1264
4/30/16,April,2016,12607,37,Adults (35-64),F,France,Essonne,Bikes,Road Bikes,"Road-150 Red, 48",48,1,2171,3578,2171,3435,1264
3/23/12,March,2012,12614,27,Young Adults (25-34),M,France,Yveline,Bikes,Road Bikes,"Road-150 Red, 44",44,2,2171,3578,4342,5439,1097
3/23/11,March,2011,12614,27,Young Adults (25-34),M,France,Yveline,Bikes,Road Bikes,"Road-150 Red, 44",44,1,2171,3578,2171,2719,548
12/5/12,December,2012,12614,27,Young Adults (25-34),M,France,Yveline,Bikes,Road Bikes,"Road-150 Red, 44",44,2,2171,3578,4342,5439,1097
12/5/11,December,2011,12614,27,Young Adults (25-34),M,France,Yveline,Bikes,Road Bikes,"Road-150 Red, 44",44,3,2171,3578,6513,8158,1645
