Date,Month,Year,Customer ID,Customer Age,Age Group,Customer Gender,Country,State,Product Category,Sub Category,Product,Frame Size,Order Quantity,Unit Cost,Unit Price,Cost,Revenue,Profit
7/21/13,July,2013,11423,43,Adults (35-64),F,Germany,Hamburg,Bikes,Road Bikes,"Road-750 Black, 58",58,1,344,540,344,502,158
7/21/15,July,2015,11423,43,Adults (35-64),F,Germany,Hamburg,Bikes,Road Bikes,"Road-750 Black, 58",58,2,344,540,688,1004,316
12/28/13,December,2013,11423,43,Adults (35-64),F,Germany,Hamburg,Bikes,Road Bikes,"Road-750 Black, 58",58,1,344,540,344,502,158
12/28/15,December,2015,11423,43,Adults (35-64),F,Germany,Hamburg,Bikes,Road Bikes,"Road-750 Black, 58",58,1,344,540,344,502,158
6/3/14,June,2014,11429,45,Adults (35-64),M,France,Hauts de Seine,Bikes,Road Bikes,"Road-350-W Yellow, 42",42,1,1083,1701,1083,1582,499
6/3/16,June,2016,11429,45,Adults (35-64),M,France,Hauts de Seine,Bikes,Road Bikes,"Road-350-W Yellow, 42",42,3,1083,1701,3249,4746,1497
3/30/14,March,2014,11431,45,Adults (35-64),M,Germany,Bayern,Bikes,Road Bikes,"Road-750 Black, 52",52,1,344,540,344,535,191
3/30/16,March,2016,11431,45,Adults (35-64),M,Germany,Bayern,Bikes,Road Bikes,"Road-750 Black, 52",52,1,344,540,344,535,191
6/1/14,June,2014,11432,46,Adults (35-64),F,France,Seine et Marne,Bikes,Road Bikes,"Road-350-W Yellow, 40",40,1,1083,1701,1083,1395,312
6/1/16,June,2016,11432,46,Adults (35-64),F,France,Seine et Marne,Bikes,Road Bikes,"Road-350-W Yellow, 40",40,3,1083,1701,3249,4184,935
7/16/12,July,2012,11433,46,Adults (35-64),M,France,Seine Saint Denis,Bikes,Road Bikes,"Road-750 Black, 44",44,2,344,540,688,886,198
7/16/11,July,2011,11433,46,Adults (35-64),M,France,Seine Saint Denis,Bikes,Road Bikes,"Road-750 Black, 44",44,1,344,540,344,443,99
7/5/13,July,2013,11433,46,Adults (35-64),M,France,Seine Saint Denis,Bikes,Road Bikes,"Road-750 Black, 44",44,1,344,540,344,443,99
7/5/15,July,2015,11433,46,Adults (35-64),M,France,Seine Saint Denis,Bikes,Road Bikes,"Road-750 Black, 44",44,1,344,540,344,443,99
2/16/14,February,2014,11433,46,Adults (35-64),M,France,Seine Saint Denis,Bikes,Road Bikes,"Road-750 Black, 44",44,1,344,540,344,443,99
2/16/16,February,2016,11433,46,Adults (35-64),M,France,Seine Saint Denis,Bikes,Road Bikes,"Road-750 Black, 44",44,1,344,540,344,443,99
9/10/12,September,2012,11439,49,Adults (35-64),F,France,Hauts de Seine,Bikes,Road Bikes,"Road-250 Black, 44",44,2,1555,2443,3110,4544,1434
9/10/11,September,2011,11439,49,Adults (35-64),F,France,Hauts de Seine,Bikes,Road Bikes,"Road-250 Black, 44",44,3,1555,2443,4665,6816,2151
