Date,Open,High,Low,Close,Volume
09/10/2021,"3,501.83","3,508.45","3,462.91","3,469.15","2,382,170"
09/09/2021,"3,526.02","3,549.99","3,480.37","3,484.16","2,719,241"
09/08/2021,"3,511.65","3,545.63","3,495.67","3,525.50","3,053,364"
09/07/2021,"3,478.00","3,528.09","3,476.94","3,509.29","2,741,184"
09/03/2021,"3,452.00","3,482.67","3,436.44","3,478.05","2,578,324"
09/02/2021,"3,494.76","3,511.96","3,455.00","3,463.12","2,925,594"
09/01/2021,"3,496.40","3,527.00","3,475.24","3,479.00","3,629,911"
08/31/2021,"3,424.80","3,472.58","3,395.59","3,470.79","4,356,413"
08/30/2021,"3,357.43","3,445.00","3,355.22","3,421.57","3,192,244"
08/27/2021,"3,333.23","3,352.32","3,313.75","3,349.63","2,402,369"
08/26/2021,"3,299.00","3,332.00","3,296.00","3,316.00","2,098,761"
08/25/2021,"3,309.87","3,321.00","3,286.15","3,299.18","1,680,306"
08/24/2021,"3,280.00","3,315.49","3,274.58","3,305.78","2,551,841"
08/23/2021,"3,211.90","3,280.90","3,210.01","3,265.87","3,268,131"
08/20/2021,"3,203.87","3,207.81","3,175.76","3,199.95","3,358,428"
08/19/2021,"3,194.02","3,233.00","3,182.46","3,187.75","3,782,862"
08/18/2021,"3,241.99","3,254.10","3,200.00","3,201.22","2,804,311"
08/17/2021,"3,277.50","3,280.49","3,225.68","3,241.96","3,387,922"
08/16/2021,"3,283.00","3,300.00","3,211.13","3,298.99","3,328,494"
08/13/2021,"3,305.67","3,306.07","3,283.00","3,293.97","2,056,699"
08/12/2021,"3,290.00","3,314.51","3,269.67","3,303.50","2,323,823"
08/11/2021,"3,331.45","3,337.70","3,277.79","3,292.11","2,947,249"
08/10/2021,"3,345.01","3,358.00","3,315.00","3,320.68","2,412,551"
08/09/2021,"3,343.61","3,354.88","3,328.52","3,341.87","2,148,220"
08/06/2021,"3,375.00","3,375.00","3,329.04","3,344.94","2,637,644"
08/05/2021,"3,356.22","3,389.00","3,340.92","3,375.99","2,433,503"
08/04/2021,"3,379.35","3,388.88","3,345.56","3,354.72","2,183,945"
08/03/2021,"3,340.72","3,391.00","3,299.77","3,366.24","4,157,343"
08/02/2021,"3,353.10","3,358.92","3,317.00","3,331.48","3,353,915"
07/30/2021,"3,347.95","3,368.14","3,306.98","3,327.59","9,965,593"
07/29/2021,"3,627.75","3,637.95","3,580.01","3,599.92","5,519,952"
07/28/2021,"3,633.78","3,658.42","3,601.00","3,630.32","2,999,378"
07/27/2021,"3,698.50","3,698.50","3,586.15","3,626.39","4,131,890"
07/26/2021,"3,673.17","3,712.08","3,647.25","3,699.82","2,900,068"
07/23/2021,"3,640.00","3,666.11","3,622.04","3,656.64","2,436,292"
07/22/2021,"3,587.23","3,640.02","3,582.27","3,638.03","3,265,352"
07/21/2021,"3,576.38","3,586.45","3,543.64","3,585.20","2,318,989"
07/20/2021,"3,567.32","3,592.00","3,518.00","3,573.19","3,255,680"
