Date,Open,High,Low,Close,Volume
06/30/2021,"153.75","156.08","153.71","155.54","12,530,990"
06/29/2021,"155.00","156.31","153.61","154.14","14,528,710"
06/28/2021,"153.70","154.48","152.12","154.33","14,125,840"
06/25/2021,"152.59","154.50","151.67","154.05","15,484,920"
06/24/2021,"151.92","153.12","151.22","152.51","13,733,190"
06/23/2021,"150.20","152.04","150.09","151.12","12,733,330"
06/22/2021,"150.60","150.97","148.66","150.21","14,251,160"
06/21/2021,"149.08","151.20","149.02","150.43","18,664,801"
06/18/2021,"149.30","149.70","147.56","147.92","43,595,660"
06/17/2021,"157.10","157.46","151.25","151.76","29,722,420"
06/16/2021,"154.73","157.62","153.11","156.27","25,321,230"
06/15/2021,"156.70","156.92","154.13","155.18","24,485,480"
06/14/2021,"160.15","160.33","156.66","157.57","19,917,859"
06/11/2021,"160.43","161.20","159.06","160.29","13,683,770"
06/10/2021,"164.36","165.24","160.31","160.40","12,119,420"
06/09/2021,"164.14","164.22","162.28","162.94","12,377,370"
06/08/2021,"164.49","165.76","163.16","165.00","10,370,720"
06/07/2021,"167.00","167.10","165.14","165.66","7,267,196"
06/04/2021,"166.21","166.67","165.03","166.44","8,510,831"
06/03/2021,"165.41","167.25","164.66","166.17","13,354,650"
06/02/2021,"167.26","167.44","165.53","166.06","10,498,570"
06/01/2021,"165.87","166.91","165.48","166.05","9,445,366"
05/28/2021,"164.68","164.94","163.26","164.24","10,294,700"
05/27/2021,"163.95","164.75","162.57","164.35","15,707,510"
05/26/2021,"163.57","163.74","161.31","161.83","13,058,340"
05/25/2021,"163.85","165.70","161.56","161.85","12,609,080"
05/24/2021,"163.36","164.23","162.12","163.54","9,440,290"
05/21/2021,"161.34","163.22","160.94","162.66","10,248,990"
05/20/2021,"160.83","161.86","159.52","160.83","10,426,010"
05/19/2021,"161.00","161.18","158.64","161.11","13,278,900"
05/18/2021,"164.68","165.50","162.24","162.35","11,098,120"
05/17/2021,"163.37","164.85","163.03","164.67","9,883,458"
05/14/2021,"162.39","164.45","161.99","164.01","10,583,980"
05/13/2021,"158.18","162.45","157.68","161.50","15,397,360"
05/12/2021,"159.61","160.78","157.03","157.45","14,381,730"
05/11/2021,"161.08","162.39","158.04","158.54","15,451,670"
05/10/2021,"161.50","163.73","161.12","161.22","14,014,330"
05/07/2021,"157.22","161.50","157.02","161.24","14,257,830"
05/06/2021,"158.07","160.83","157.16","160.69","13,542,410"
05/05/2021,"156.00","158.28","154.63","157.52","10,506,673"
05/04/2021,"152.87","155.64","152.14","155.48","12,977,670"
05/03/2021,"154.85","155.48","153.13","153.36","11,801,110"
04/30/2021,"154.10","154.49","153.01","153.81","11,705,070"
04/29/2021,"153.54","155.28","153.20","155.19","12,976,870"
04/28/2021,"152.43","152.89","151.40","152.23","8,943,653"
04/27/2021,"150.50","151.57","150.11","151.25","12,821,180"
04/26/2021,"150.78","152.46","150.38","150.56","10,799,070"
04/23/2021,"147.18","151.13","146.69","150.19","14,043,090"
04/22/2021,"150.23","150.30","147.26","147.37","15,256,120"
04/21/2021,"147.79","150.61","146.79","150.54","12,236,670"
04/20/2021,"151.74","151.75","148.65","149.27","13,716,680"
04/19/2021,"153.42","153.88","152.22","152.65","11,900,220"
04/16/2021,"153.87","154.51","152.69","153.30","13,773,410"
04/15/2021,"151.25","152.20","149.32","152.17","17,694,131"
04/14/2021,"151.47","153.83","150.93","151.21","19,939,590"
04/13/2021,"154.75","155.20","152.43","154.09","16,113,560"
